Attrition,Risk_Score,Risk_Level
1,0.9149136347964567,Cao
0,0.0176465631471729,Thấp
1,0.8006105724545254,Cao
0,0.3610113363584364,Cao
0,0.10517039958041484,Cao
0,0.03652565228665093,Trung bình
0,0.048911911424821104,Trung bình
0,0.09990643227821257,Cao
0,0.033521477368266196,Trung bình
0,0.027477439867532687,Thấp
0,0.021590855697481093,Thấp
0,0.051269101617407525,Trung bình
0,0.028411988031332908,Thấp
0,0.009081570096728706,Thấp
1,0.952341862561505,Cao
0,0.005990737079358357,Thấp
0,0.02463918117472729,Thấp
0,0.31830627832487635,Cao
0,0.026819900073992108,Thấp
0,0.07511487858362641,Trung bình
0,0.0009578285753856391,Thấp
1,0.7387260403357194,Cao
0,0.02219222050872604,Thấp
0,0.060293531891398265,Trung bình
1,0.07829203266113642,Trung bình
0,0.006038859756862409,Thấp
1,0.9376256338666937,Cao
0,0.03395070725105162,Trung bình
0,0.016656604880827357,Thấp
0,0.026725339103008137,Thấp
0,0.12873871391049324,Cao
0,0.013004773969386698,Thấp
0,0.10783578113245253,Cao
1,0.7433733661189426,Cao
1,0.779510525761085,Cao
0,0.0012461827858546,Thấp
1,0.5835036047368021,Cao
0,0.037983522726799626,Trung bình
0,0.10239596993145873,Cao
0,0.019702035288163652,Thấp
0,0.05883448889850005,Trung bình
0,0.05835337667354186,Trung bình
1,0.965636526135675,Cao
0,0.03612718540400748,Trung bình
0,0.011009090874767494,Thấp
1,0.01058762933753354,Thấp
0,0.043009001112050624,Trung bình
0,0.19973448779244116,Cao
0,0.11429179435906836,Cao
0,0.013686530583409814,Thấp
1,0.9230260894079788,Cao
1,0.9553588266118864,Cao
0,0.03971069922809014,Trung bình
0,0.11285926943579833,Cao
0,0.1588901655726344,Cao
0,0.06583547132158907,Trung bình
0,0.0784377004754329,Trung bình
0,0.08976783871064035,Trung bình
0,0.010290941700937833,Thấp
0,0.004072048298677055,Thấp
0,0.03377610167482972,Trung bình
0,0.01603981549444674,Thấp
0,0.042583062553578264,Trung bình
0,0.025265511971600353,Thấp
0,0.005708720154486644,Thấp
0,0.005382130548715909,Thấp
0,0.1216857748954866,Cao
0,0.014916630737321903,Thấp
0,0.039839979174528854,Trung bình
1,0.38722579463032775,Cao
0,0.05807511677541814,Trung bình
0,0.004716970300026859,Thấp
0,0.17915186529380567,Cao
0,0.013202893739826324,Thấp
0,0.04246173219536019,Trung bình
0,0.004308587973287359,Thấp
0,0.01906143517457896,Thấp
0,0.0537688117418933,Trung bình
0,0.07435636131211795,Trung bình
0,0.0590035657354778,Trung bình
0,0.04669596061203988,Trung bình
0,0.0382397664449818,Trung bình
0,0.022321903215044483,Thấp
